,roll,pitch,yaw
0,-0.015882,-0.004186,0.9414393267949
1,-0.013674,-0.001517,0.9426093267949
2,-0.012862,-0.000579,0.9441913267949
3,-0.013703,-0.000938,0.9455373267949
4,-0.014298,-0.000834,0.9470593267949
5,-0.014189,-0.000375,0.9482643267949
6,-0.014105,-0.00014,0.9498113267949
7,-0.012212,-0.000954,0.9516773267949
8,-0.011063,-0.000643,0.9529653267949
9,-0.010995,-0.000493,0.9541903267949
10,-0.01157,-0.000826,0.9554233267949
11,-0.013107,-0.000205,0.9558853267949
12,-0.014633,0.000492,0.9563063267949
13,-0.01569,0.00136,0.9569043267949
14,-0.015674,0.001569,0.9573183267949
15,-0.016169,0.001707,0.9578323267949
16,-0.016815,0.002264,0.9578613267949
17,-0.017713,0.003431,0.9578143267949
18,-0.018078,0.002495,0.9577723267949
19,-0.018508,-7.4e-05,0.9577673267949
20,-0.016944,-0.00026,0.9574723267949
21,-0.015872,0.002634,0.9571143267949
22,-0.014228,0.004215,0.9569013267949
23,-0.013245,0.003341,0.9566423267949
24,-0.013371,0.001697,0.9562813267949
25,-0.014161,0.000557,0.9557073267949
26,-0.014905,2.4e-05,0.9547623267949
27,-0.015442,0.00066,0.9536463267949
28,-0.016106,0.00286,0.9520593267949
29,-0.015499,0.004031,0.9502523267949
30,-0.015857,0.00446,0.9480553267949
31,-0.015853,0.004144,0.9444453267949
32,-0.015095,0.00199,0.9409283267949
33,-0.014891,0.000381,0.9368393267949
34,-0.015296,0.000795,0.9332753267949
35,-0.015747,0.000721,0.9281753267949
36,-0.01718,-0.000475,0.9218963267949
37,-0.018864,-0.000903,0.9140073267949
38,-0.01993,0.000236,0.9059033267949
39,-0.022419,0.000426,0.8949743267949
40,-0.024758,0.000252,0.8825043267949
41,-0.026918,0.000407,0.8683233267949
42,-0.029624,0.001169,0.8509833267949
43,-0.030199,0.002164,0.8339253267949
44,-0.03007,0.001197,0.8155513267949
45,-0.029159,-0.000711,0.7939983267949
46,-0.026796,-0.001875,0.7737613267949
47,-0.021707,-0.000141,0.7502703267949
48,-0.016904,0.001173,0.7277463267949
49,-0.011977,0.000279,0.7044563267949
50,-0.004654,-0.002366,0.6773343267949
51,-0.000779,-0.002786,0.6514433267949
52,0.001451,-0.000776,0.6214313267949
53,0.004611,0.001707,0.5933153267949
54,0.008536,0.000904,0.5643293267949
55,0.009552,-0.003711,0.5313003267949
56,0.013559,-0.009622,0.5009633267949
57,0.017821,-0.013311,0.4704243267949
58,0.018304,-0.010741,0.4353773267949
